ID,Tipo,Entorno,Valor
puntosPuntoYComa,ENTERO,global,2
decimal,DOUBLE,global,9.900000
puntosOperacionesLogicas,ENTERO,global,2
puntosOperacionesRelacionales,ENTERO,global,2
puntosOperacionesAritmeticas,ENTERO,global,2
booleano,BOOLEANO,global,false
entero,ENTERO,global,99
resultadoAnd1,BOOLEANO,global,true
resultadoDesigualdad1,BOOLEANO,global,false
resultadoIgualdad1,BOOLEANO,global,true
resultadoAnd2,BOOLEANO,global,false
resultadoDesigualdad2,BOOLEANO,global,true
resultadoIgualdad2,BOOLEANO,global,false
resultadoAnd3,BOOLEANO,global,false
resultadoDesigualdad3,BOOLEANO,global,false
resultadoIgualdad3,BOOLEANO,global,true
resultadoAnd4,BOOLEANO,global,false
resultadoDesigualdad4,BOOLEANO,global,true
resultadoIgualdad4,BOOLEANO,global,false
resultadoAnd5,BOOLEANO,global,true
resultadoAnd6,BOOLEANO,global,false
puntosAsignacion,ENTERO,global,2
puntosDeclaracion,ENTERO,global,2
resultadoResta1,ENTERO,global,5
resultadoSuma1,ENTERO,global,15
resultadoResta2,DOUBLE,global,5.000000
resultadoSuma2,DOUBLE,global,16.000000
booleanoSinValor,BOOLEANO,global,false
textoSinValor,CADENA,global,""
decimalSinValor,DOUBLE,global,0.000000
enteroSinValor,ENTERO,global,0
numeros,ENTERO,global,1
resultadoResta3,DOUBLE,global,4.500000
resultadoSuma3,DOUBLE,global,15.500000
puntos,ENTERO,global,16
resultadoResta4,DOUBLE,global,5.500000
resultadoSuma4,DOUBLE,global,15.500000
a,ENTERO,global,10
b,ENTERO,global,20
c,ENTERO,global,30
puntosPrintln,ENTERO,global,2
puntosValorNulo,ENTERO,global,2
texto,CADENA,global,"Texto modificado"
resultadoOr1,BOOLEANO,global,true
resultadoOr2,BOOLEANO,global,true
resultadoOr3,BOOLEANO,global,true
resultadoOr4,BOOLEANO,global,false
resultadoOr5,BOOLEANO,global,true
resultadoOr6,BOOLEANO,global,true
resultadoOr7,BOOLEANO,global,false
